Latitude (decimal degrees):	42.218
Longitude (decimal degrees):	-8.762
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20210602:0610,32.56,53.82,10.74,13.02,2.21,0.0
20210602:0710,87.52,121.2,21.42,14.14,2.41,0.0
20210602:0810,170.92,218.93,32.45,15.01,3.03,0.0
20210602:0910,307.02,379.44,43.52,15.89,3.38,0.0
20210602:1010,90.07,124.61,54.2,16.7,3.66,0.0
20210602:1110,129.79,171.69,63.57,17.11,3.86,0.0
20210602:1210,141.71,185.53,69.42,17.11,4.41,0.0
20210602:1310,291.59,361.71,68.49,17.35,5.52,0.0
20210602:1410,98.78,134.77,61.46,16.96,5.72,0.0
20210602:1510,308.07,379.53,51.62,16.26,4.69,0.0
20210602:1610,186.1,236.66,40.79,16.01,3.86,0.0
20210602:1710,25.52,45.23,29.7,15.67,3.93,0.0
20210602:1810,49.14,74.77,18.73,14.94,4.34,0.0
20210602:1910,13.48,28.64,8.18,13.93,4.14,0.0
20210602:2010,0.0,0.0,0.0,13.53,4.21,0.0
20210602:2110,0.0,0.0,0.0,13.2,4.28,0.0
20210602:2210,0.0,0.0,0.0,12.87,4.07,0.0
20210602:2310,0.0,0.0,0.0,12.56,3.93,0.0
20210603:0010,0.0,0.0,0.0,12.44,3.79,0.0
20210603:0110,0.0,0.0,0.0,12.31,3.72,0.0
20210603:0210,0.0,0.0,0.0,12.04,3.66,0.0
20210603:0310,0.0,0.0,0.0,11.83,3.59,0.0
20210603:0410,0.0,0.0,0.0,11.44,3.59,0.0
20210603:0510,0.0,0.0,0.0,11.11,3.45,0.0
20210603:0610,28.07,47.74,10.79,11.21,3.45,0.0
20210603:0710,115.99,184.4,21.47,12.05,3.93,0.0
20210603:0810,324.63,405.98,32.5,12.86,4.07,0.0
20210603:0910,511.07,618.62,43.57,14.07,4.07,0.0
20210603:1010,595.13,727.42,54.26,15.28,4.0,0.0
20210603:1110,731.69,907.47,63.65,16.22,4.21,0.0
20210603:1210,803.73,1005.59,69.53,17.0,4.55,0.0
20210603:1310,815.53,1017.17,68.62,17.44,5.17,0.0
20210603:1410,760.39,939.12,61.58,17.6,5.59,0.0
20210603:1510,645.73,787.39,51.73,17.52,5.93,0.0
20210603:1610,489.47,595.64,40.9,17.3,6.14,0.0
20210603:1710,293.63,376.37,29.81,16.93,6.21,0.0
20210603:1810,89.38,155.92,18.84,16.34,5.93,0.0
20210603:1910,18.37,35.59,8.29,15.16,5.93,0.0
20210603:2010,0.0,0.0,0.0,14.16,5.45,0.0
20210603:2110,0.0,0.0,0.0,13.34,4.83,0.0
20210603:2210,0.0,0.0,0.0,12.65,4.21,0.0
20210603:2310,0.0,0.0,0.0,11.97,3.72,0.0
20210604:0010,0.0,0.0,0.0,11.45,3.45,0.0
20210604:0110,0.0,0.0,0.0,10.94,3.24,0.0
20210604:0210,0.0,0.0,0.0,10.5,2.97,0.0
20210604:0310,0.0,0.0,0.0,10.12,2.9,0.0
20210604:0410,0.0,0.0,0.0,9.77,3.03,0.0
20210604:0510,0.0,0.0,0.0,9.56,3.24,0.0
20210604:0610,26.9,46.01,10.85,9.83,3.17,0.0
20210604:0710,113.05,183.23,21.52,11.39,2.9,0.0
20210604:0810,322.7,405.76,32.54,13.1,3.24,0.0
20210604:0910,520.53,633.95,43.61,14.57,3.52,0.0
20210604:1010,672.85,831.51,54.31,15.91,3.45,0.0
20210604:1110,772.41,974.13,63.72,17.1,3.38,0.0
20210604:1210,796.1,1013.43,69.64,18.05,3.45,0.0
20210604:1310,814.5,1035.22,68.75,18.71,4.0,0.0
20210604:1410,768.81,965.83,61.69,19.05,4.55,0.0
20210604:1510,647.43,801.45,51.84,19.21,4.9,0.0
20210604:1610,490.75,605.52,41.0,19.15,5.03,0.0
20210604:1710,292.58,379.93,29.91,18.91,5.17,0.0
20210604:1810,88.27,156.91,18.94,18.43,5.1,0.0
20210604:1910,18.73,36.46,8.4,17.88,4.76,0.0
20210604:2010,0.0,0.0,0.0,16.74,4.69,0.0
20210604:2110,0.0,0.0,0.0,15.74,4.69,0.0
20210604:2210,0.0,0.0,0.0,14.9,4.34,0.0
20210604:2310,0.0,0.0,0.0,14.19,4.07,0.0
20210605:0010,0.0,0.0,0.0,13.57,3.79,0.0
20210605:0110,0.0,0.0,0.0,12.98,3.52,0.0
20210605:0210,0.0,0.0,0.0,12.42,3.31,0.0
20210605:0310,0.0,0.0,0.0,11.92,3.17,0.0
20210605:0410,0.0,0.0,0.0,11.5,3.03,0.0
20210605:0510,0.0,0.0,0.0,11.12,2.83,0.0
20210605:0610,27.35,46.87,10.89,11.35,2.55,0.0
20210605:0710,112.38,181.11,21.56,13.36,1.86,0.0
20210605:0810,312.74,401.97,32.58,15.76,1.66,0.0
20210605:0910,500.66,627.49,43.65,17.56,1.86,0.0
20210605:1010,622.52,791.99,54.36,19.01,2.0,0.0
20210605:1110,716.01,922.15,63.79,20.12,2.55,0.0
20210605:1210,770.36,998.72,69.75,20.82,2.97,0.0
20210605:1310,780.07,1005.2,68.87,21.27,3.66,0.0
20210605:1410,731.03,928.47,61.8,21.46,4.34,0.0
20210605:1510,619.77,775.47,51.94,21.46,4.76,0.0
20210605:1610,472.91,590.14,41.1,21.39,4.9,0.0
20210605:1710,283.14,371.84,30.01,21.21,4.76,0.0
20210605:1810,88.24,155.54,19.04,20.79,4.41,0.0
20210605:1910,19.78,38.19,8.5,19.86,3.79,0.0
20210605:2010,0.0,0.0,0.0,18.7,3.72,0.0
20210605:2110,0.0,0.0,0.0,17.63,3.66,0.0
20210605:2210,0.0,0.0,0.0,16.78,3.66,0.0
20210605:2310,0.0,0.0,0.0,16.03,3.66,0.0
20210606:0010,0.0,0.0,0.0,15.31,3.66,0.0
20210606:0110,0.0,0.0,0.0,14.71,3.66,0.0
20210606:0210,0.0,0.0,0.0,14.3,3.72,0.0
20210606:0310,0.0,0.0,0.0,13.84,3.72,0.0
20210606:0410,0.0,0.0,0.0,13.48,3.59,0.0
20210606:0510,0.0,0.0,0.0,13.1,3.52,0.0
20210606:0610,28.46,48.61,10.93,13.21,3.38,0.0
20210606:0710,112.17,181.34,21.59,14.38,3.45,0.0
20210606:0810,313.35,399.01,32.61,15.85,3.38,0.0
20210606:0910,498.38,615.86,43.68,17.4,3.31,0.0
20210606:1010,645.27,808.52,54.4,18.94,3.38,0.0
20210606:1110,735.82,937.94,63.85,20.23,3.52,0.0
20210606:1210,776.06,1000.7,69.84,21.27,3.59,0.0
20210606:1310,781.2,1006.15,68.98,21.94,4.0,0.0
20210606:1410,735.04,939.5,61.91,22.32,4.21,0.0
20210606:1510,625.41,788.95,52.04,22.49,4.41,0.0
20210606:1610,476.04,597.21,41.2,22.32,4.76,0.0
20210606:1710,286.74,378.05,30.1,21.97,4.76,0.0
20210606:1810,89.27,157.24,19.14,21.38,4.55,0.0
20210606:1910,19.77,38.19,8.6,19.94,4.28,0.0
20210606:2010,0.0,0.0,0.0,18.74,4.0,0.0
20210606:2110,0.0,0.0,0.0,17.69,4.07,0.0
20210606:2210,0.0,0.0,0.0,16.91,3.86,0.0
20210606:2310,0.0,0.0,0.0,16.19,3.52,0.0
20210607:0010,0.0,0.0,0.0,15.5,3.03,0.0
20210607:0110,0.0,0.0,0.0,14.8,2.76,0.0
20210607:0210,0.0,0.0,0.0,14.05,2.48,0.0
20210607:0310,0.0,0.0,0.0,13.34,2.41,0.0
20210607:0410,0.0,0.0,0.0,12.68,2.55,0.0
20210607:0510,0.0,0.0,0.0,12.28,2.69,0.0
20210607:0610,27.88,47.74,10.97,12.4,2.34,0.0
20210607:0710,112.89,182.76,21.62,13.85,1.72,0.0
20210607:0810,315.27,405.55,32.63,15.72,1.59,0.0
20210607:0910,512.94,644.76,43.71,17.4,1.66,0.0
20210607:1010,633.5,806.07,54.43,18.94,2.07,0.0
20210607:1110,736.2,950.04,63.91,20.14,2.62,0.0
20210607:1210,787.2,1018.2,69.93,20.81,3.31,0.0
20210607:1310,793.28,1019.65,69.09,21.05,3.93,0.0
20210607:1410,739.11,937.8,62.01,21.02,4.34,0.0
20210607:1510,622.77,779.09,52.14,20.83,4.48,0.0
20210607:1610,477.31,594.89,41.29,20.58,4.48,0.0
20210607:1710,288.03,376.5,30.2,20.21,4.28,0.0
20210607:1810,91.89,159.74,19.24,19.67,3.86,0.0
20210607:1910,20.55,39.06,8.7,18.51,3.45,0.0
20210607:2010,0.0,0.0,0.0,17.53,2.97,0.0
20210607:2110,0.0,0.0,0.0,16.51,2.9,0.0
20210607:2210,0.0,0.0,0.0,15.65,2.97,0.0
20210607:2310,0.0,0.0,0.0,14.91,3.03,0.0
20210608:0010,0.0,0.0,0.0,14.34,2.9,0.0
20210608:0110,0.0,0.0,0.0,13.85,2.69,0.0
20210608:0210,0.0,0.0,0.0,13.46,2.41,0.0
20210608:0310,0.0,0.0,0.0,13.36,2.28,0.0
20210608:0410,0.0,0.0,0.0,13.28,2.21,0.0
20210608:0510,0.0,0.0,0.0,13.29,2.34,0.0
20210608:0610,33.17,54.69,11.0,13.51,2.55,0.0
20210608:0710,118.29,161.08,21.64,14.36,3.03,0.0
20210608:0810,307.87,390.73,32.66,15.24,3.1,0.0
20210608:0910,506.75,625.8,43.74,16.81,3.1,0.0
20210608:1010,631.35,796.62,54.46,18.62,2.55,0.0
20210608:1110,718.72,923.17,63.96,20.05,2.76,0.0
20210608:1210,776.65,1000.77,70.01,20.91,3.52,0.0
20210608:1310,781.79,1002.17,69.19,21.45,4.21,0.0
20210608:1410,726.2,921.72,62.11,21.73,4.55,0.0
20210608:1510,620.86,779.11,52.23,21.84,4.69,0.0
20210608:1610,476.85,597.23,41.38,21.8,4.62,0.0
20210608:1710,287.56,378.34,30.28,21.63,4.48,0.0
20210608:1810,104.76,158.85,19.33,21.2,4.34,0.0
20210608:1910,24.21,44.27,8.79,20.18,4.21,0.0
20210608:2010,0.0,0.0,0.0,19.01,4.0,0.0
20210608:2110,0.0,0.0,0.0,17.98,3.86,0.0
20210608:2210,0.0,0.0,0.0,17.18,3.72,0.0
20210608:2310,0.0,0.0,0.0,16.5,3.59,0.0
20210609:0010,0.0,0.0,0.0,15.93,3.38,0.0
20210609:0110,0.0,0.0,0.0,15.42,3.24,0.0
20210609:0210,0.0,0.0,0.0,14.9,3.24,0.0
20210609:0310,0.0,0.0,0.0,14.43,3.31,0.0
20210609:0410,0.0,0.0,0.0,14.13,3.31,0.0
20210609:0510,0.0,0.0,0.0,13.86,3.24,0.0
20210609:0610,27.66,47.74,11.02,14.0,3.03,0.0
20210609:0710,109.48,179.24,21.66,15.21,3.03,0.0
20210609:0810,310.19,399.0,32.67,17.21,2.97,0.0
20210609:0910,503.2,629.66,43.75,19.1,2.83,0.0
20210609:1010,633.94,804.26,54.49,20.72,2.97,0.0
20210609:1110,720.2,928.73,64.0,22.15,3.24,0.0
20210609:1210,774.11,1007.73,70.09,23.13,3.59,0.0
20210609:1310,797.31,1033.48,69.29,23.6,4.34,0.0
20210609:1410,729.68,933.69,62.21,23.82,4.83,0.0
20210609:1510,616.95,779.83,52.32,23.95,5.03,0.0
20210609:1610,470.9,594.46,41.47,23.95,5.03,0.0
20210609:1710,280.83,372.88,30.37,23.72,4.76,0.0
20210609:1810,90.08,158.43,19.42,23.2,4.48,0.0
20210609:1910,21.4,40.8,8.88,22.32,4.07,0.0
20210609:2010,0.0,0.0,0.0,21.06,4.0,0.0
20210609:2110,0.0,0.0,0.0,19.89,4.0,0.0
20210609:2210,0.0,0.0,0.0,18.98,4.07,0.0
20210609:2310,0.0,0.0,0.0,18.19,4.0,0.0
20210610:0010,0.0,0.0,0.0,17.43,3.72,0.0
20210610:0110,0.0,0.0,0.0,16.77,3.59,0.0
20210610:0210,0.0,0.0,0.0,16.21,3.52,0.0
20210610:0310,0.0,0.0,0.0,15.72,3.31,0.0
20210610:0410,0.0,0.0,0.0,15.23,2.97,0.0
20210610:0510,0.0,0.0,0.0,14.8,2.9,0.0
20210610:0610,28.18,48.61,11.04,15.01,2.69,0.0
20210610:0710,109.11,177.63,21.68,16.63,2.28,0.0
20210610:0810,302.95,393.55,32.68,18.7,2.48,0.0
20210610:0910,482.81,610.82,43.77,20.63,2.34,0.0
20210610:1010,512.55,655.61,54.51,22.3,2.34,0.0
20210610:1110,687.12,898.06,64.04,23.56,2.55,0.0
20210610:1210,750.31,985.38,70.15,24.3,3.17,0.0
20210610:1310,752.97,981.75,69.38,24.59,3.86,0.0
20210610:1410,697.45,898.74,62.29,24.7,4.28,0.0
20210610:1510,585.61,746.8,52.41,24.69,4.21,0.0
20210610:1610,442.47,563.31,41.55,24.71,4.21,0.0
20210610:1710,272.34,363.16,30.45,24.62,4.07,0.0
20210610:1810,96.3,160.21,19.5,24.36,4.0,0.0
20210610:1910,25.77,46.87,8.97,22.92,3.86,0.0
20210610:2010,0.0,0.0,0.0,21.6,4.0,0.0
20210610:2110,0.0,0.0,0.0,20.62,4.0,0.0
20210610:2210,0.0,0.0,0.0,19.95,4.07,0.0
20210610:2310,0.0,0.0,0.0,19.33,4.28,0.0
20210611:0010,0.0,0.0,0.0,18.6,4.21,0.0
20210611:0110,0.0,0.0,0.0,17.96,4.0,0.0
20210611:0210,0.0,0.0,0.0,17.28,4.0,0.0
20210611:0310,0.0,0.0,0.0,16.82,4.21,0.0
20210611:0410,0.0,0.0,0.0,16.48,4.28,0.0
20210611:0510,0.0,0.0,0.0,16.17,4.14,0.0
20210611:0610,31.35,52.95,11.06,16.42,3.79,0.0
20210611:0710,107.82,175.89,21.69,17.53,3.79,0.0
20210611:0810,298.75,387.17,32.69,19.38,3.66,0.0
20210611:0910,486.52,611.26,43.78,21.39,3.66,0.0
20210611:1010,621.83,788.27,54.52,23.09,4.14,0.0
20210611:1110,715.54,920.83,64.07,24.56,4.48,0.0
20210611:1210,763.62,993.63,70.21,25.75,4.69,0.0
20210611:1310,775.26,1011.4,69.46,26.56,4.97,0.0
20210611:1410,707.82,917.03,62.38,27.09,5.1,0.0
20210611:1510,598.46,765.96,52.49,27.23,5.45,0.0
20210611:1610,456.88,582.3,41.63,26.83,5.93,0.0
20210611:1710,274.32,367.74,30.53,26.29,5.52,0.0
20210611:1810,94.38,159.49,19.58,25.57,5.59,0.0
20210611:1910,26.89,48.61,9.05,24.26,5.59,0.0
20210611:2010,0.0,0.0,0.0,22.84,5.24,0.0
20210611:2110,0.0,0.0,0.0,21.39,4.83,0.0
20210611:2210,0.0,0.0,0.0,20.23,4.48,0.0
20210611:2310,0.0,0.0,0.0,19.39,4.14,0.0
20210612:0010,0.0,0.0,0.0,18.68,3.79,0.0
20210612:0110,0.0,0.0,0.0,18.12,3.59,0.0
20210612:0210,0.0,0.0,0.0,17.63,3.59,0.0
20210612:0310,0.0,0.0,0.0,17.17,3.66,0.0
20210612:0410,0.0,0.0,0.0,16.88,3.72,0.0
20210612:0510,0.0,0.0,0.0,16.56,3.86,0.0
20210612:0610,31.29,52.95,11.07,16.84,3.79,0.0
20210612:0710,108.15,176.54,21.69,18.6,3.86,0.0
20210612:0810,304.21,398.19,32.69,20.96,3.52,0.0
20210612:0910,468.82,596.98,43.78,23.13,2.97,0.0
20210612:1010,589.88,765.72,54.53,24.75,2.48,0.0
20210612:1110,668.93,897.46,64.09,25.9,1.59,0.0
20210612:1210,699.49,979.74,70.27,26.57,0.34,0.0
20210612:1310,712.73,987.44,69.54,26.68,0.83,0.0
20210612:1410,660.06,894.41,62.46,26.76,1.24,0.0
20210612:1510,549.27,728.27,52.56,26.82,1.45,0.0
20210612:1610,442.27,578.09,41.7,26.61,1.93,0.0
20210612:1710,143.69,196.62,30.61,25.73,2.0,0.0
20210612:1810,101.29,151.5,19.66,25.16,1.52,0.0
20210612:1910,0.74,7.81,9.13,25.11,1.66,0.0
20210612:2010,0.0,0.0,0.0,24.7,1.72,0.0
20210612:2110,0.0,0.0,0.0,23.5,1.59,0.0
20210612:2210,0.0,0.0,0.0,23.27,1.1,0.0
20210612:2310,0.0,0.0,0.0,22.32,1.1,0.0
20210613:0010,0.0,0.0,0.0,20.01,1.79,0.0
20210613:0110,0.0,0.0,0.0,19.35,1.66,0.0
20210613:0210,0.0,0.0,0.0,18.44,1.93,0.0
20210613:0310,0.0,0.0,0.0,17.92,2.0,0.0
20210613:0410,0.0,0.0,0.0,17.46,1.79,0.0
20210613:0510,0.0,0.0,0.0,17.17,1.72,0.0
20210613:0610,27.11,47.74,11.07,17.66,1.72,0.0
20210613:0710,116.85,175.75,21.69,19.83,0.62,0.0
20210613:0810,271.25,361.28,32.69,21.35,0.14,0.0
20210613:0910,456.25,587.09,43.78,22.11,1.31,0.0
20210613:1010,487.77,622.32,54.54,22.23,2.41,0.0
20210613:1110,326.5,416.47,64.11,22.1,2.83,0.0
20210613:1210,743.96,968.75,70.32,22.09,2.83,0.0
20210613:1310,747.41,986.65,69.61,21.72,1.93,0.0
20210613:1410,674.25,898.69,62.54,22.44,0.97,0.0
20210613:1510,562.25,731.61,52.64,22.73,1.31,0.0
20210613:1610,399.47,512.65,41.78,23.18,2.0,0.0
20210613:1710,25.91,47.08,30.68,22.88,2.69,0.0
20210613:1810,9.18,23.08,19.73,22.53,2.48,0.0
20210613:1910,22.09,41.66,9.2,21.61,2.69,0.0
20210613:2010,0.0,0.0,0.0,20.87,2.21,0.0
20210613:2110,0.0,0.0,0.0,20.44,2.0,0.0
20210613:2210,0.0,0.0,0.0,20.11,2.14,0.0
20210613:2310,0.0,0.0,0.0,19.67,2.48,0.0
20210614:0010,0.0,0.0,0.0,19.55,2.62,0.0
20210614:0110,0.0,0.0,0.0,19.36,2.55,0.0
20210614:0210,0.0,0.0,0.0,19.04,2.21,0.0
20210614:0310,0.0,0.0,0.0,18.71,1.79,0.0
20210614:0410,0.0,0.0,0.0,18.23,1.72,0.0
20210614:0510,0.0,0.0,0.0,17.92,1.79,0.0
20210614:0610,30.37,52.08,11.07,18.11,1.79,0.0
20210614:0710,105.78,173.97,21.69,19.05,1.93,0.0
20210614:0810,289.57,381.92,32.69,20.82,1.72,0.0
20210614:0910,460.41,596.92,43.77,22.64,0.97,0.0
20210614:1010,569.18,761.27,54.54,23.93,0.28,0.0
20210614:1110,668.49,894.05,64.13,24.7,1.38,0.0
20210614:1210,724.74,970.24,70.36,25.07,2.0,0.0
20210614:1310,738.42,979.05,69.68,25.31,2.76,0.0
20210614:1410,677.6,882.25,62.61,25.25,3.38,0.0
20210614:1510,251.58,327.41,52.71,24.84,3.1,0.0
20210614:1610,182.25,242.11,41.85,24.64,2.62,0.0
20210614:1710,116.63,162.03,30.75,24.73,2.21,0.0
20210614:1810,78.89,116.79,19.8,24.68,1.31,0.0
20210614:1910,28.07,50.35,9.28,24.53,1.59,0.0
20210614:2010,0.0,0.0,0.0,24.04,2.14,0.0
20210614:2110,0.0,0.0,0.0,23.41,2.55,0.0
20210614:2210,0.0,0.0,0.0,22.86,2.83,0.0
20210614:2310,0.0,0.0,0.0,22.17,3.03,0.0
20210615:0010,0.0,0.0,0.0,21.4,3.1,0.0
20210615:0110,0.0,0.0,0.0,20.8,3.03,0.0
20210615:0210,0.0,0.0,0.0,20.19,2.97,0.0
20210615:0310,0.0,0.0,0.0,19.55,2.9,0.0
20210615:0410,0.0,0.0,0.0,19.01,2.97,0.0
20210615:0510,0.0,0.0,0.0,18.62,3.1,0.0
20210615:0610,30.94,52.95,11.06,18.9,2.97,0.0
20210615:0710,104.86,173.5,21.68,20.63,2.28,0.0
20210615:0810,285.33,379.92,32.68,22.7,1.72,0.0
20210615:0910,452.34,591.27,43.76,24.37,0.97,0.0
20210615:1010,568.87,762.38,54.53,25.47,0.55,0.0
20210615:1110,655.23,886.57,64.13,26.12,1.1,0.0
20210615:1210,704.42,952.39,70.39,26.4,1.72,0.0
20210615:1310,724.46,971.41,69.73,26.49,2.34,0.0
20210615:1410,670.08,884.85,62.67,26.43,2.69,0.0
20210615:1510,570.89,745.45,52.77,26.65,2.62,0.0
20210615:1610,444.99,576.15,41.91,26.71,3.03,0.0
20210615:1710,270.51,365.92,30.82,26.17,2.55,0.0
20210615:1810,101.19,152.12,19.87,26.55,2.07,0.0
20210615:1910,6.04,18.23,9.34,26.35,2.0,0.0
20210615:2010,0.0,0.0,0.0,25.51,1.66,0.0
20210615:2110,0.0,0.0,0.0,23.99,1.31,0.0
20210615:2210,0.0,0.0,0.0,23.06,1.38,0.0
20210615:2310,0.0,0.0,0.0,23.22,1.03,0.0
20210616:0010,0.0,0.0,0.0,23.3,0.62,0.0
20210616:0110,0.0,0.0,0.0,22.44,0.41,0.0
20210616:0210,0.0,0.0,0.0,21.74,0.34,0.0
20210616:0310,0.0,0.0,0.0,21.13,0.34,0.0
20210616:0410,0.0,0.0,0.0,20.67,0.41,0.0
20210616:0510,0.0,0.0,0.0,20.13,1.03,0.0
20210616:0610,29.1,50.35,11.05,17.67,1.86,0.0
20210616:0710,104.8,173.42,21.67,20.16,1.93,0.0
20210616:0810,257.67,338.76,32.66,21.56,1.52,0.0
20210616:0910,467.71,594.86,43.75,22.33,2.62,0.0
20210616:1010,597.65,755.69,54.52,22.13,3.72,0.0
20210616:1110,577.23,729.91,64.14,21.56,3.86,0.0
20210616:1210,579.72,733.42,70.42,21.26,3.86,0.0
20210616:1310,611.8,772.11,69.79,20.78,4.07,0.0
20210616:1410,656.21,828.41,62.73,20.73,4.0,0.0
20210616:1510,596.18,747.2,52.84,20.82,3.93,0.0
20210616:1610,447.64,560.73,41.97,20.24,3.24,0.0
20210616:1710,255.68,334.05,30.88,20.09,2.07,0.0
20210616:1810,57.65,87.19,19.93,19.75,1.38,0.0
20210616:1910,18.01,35.59,9.4,18.55,1.59,0.0
20210616:2010,0.0,0.0,0.0,18.43,1.72,0.0
20210616:2110,0.0,0.0,0.0,17.62,1.86,0.0
20210616:2210,0.0,0.0,0.0,17.09,1.38,0.0
20210616:2310,0.0,0.0,0.0,16.82,0.48,0.0
20210617:0010,0.0,0.0,0.0,16.62,0.69,0.0
20210617:0110,0.0,0.0,0.0,16.77,0.41,0.0
20210617:0210,0.0,0.0,0.0,16.95,0.48,0.0
20210617:0310,0.0,0.0,0.0,16.88,0.83,0.0
20210617:0410,0.0,0.0,0.0,16.76,0.83,0.0
20210617:0510,0.0,0.0,0.0,16.71,1.17,0.0
20210617:0610,39.43,63.37,11.04,16.65,1.52,0.0
20210617:0710,42.59,67.38,21.65,16.98,1.86,0.0
20210617:0810,21.85,40.61,32.64,17.07,2.41,0.0
20210617:0910,42.57,67.38,43.73,17.25,2.83,0.0
20210617:1010,57.4,85.84,54.51,17.73,3.17,0.0
20210617:1110,95.73,132.0,64.13,17.86,3.45,0.0
20210617:1210,151.8,198.46,70.44,18.1,3.79,0.0
20210617:1310,98.73,135.69,69.83,18.33,4.28,0.0
20210617:1410,81.66,115.38,62.79,18.58,4.9,0.0
20210617:1510,49.08,75.69,52.89,18.35,5.38,0.0
20210617:1610,54.55,82.15,42.03,17.58,5.93,0.0
20210617:1710,29.64,50.77,30.94,16.84,6.21,0.0
20210617:1810,14.57,30.46,19.99,16.43,6.34,0.0
20210617:1910,2.93,12.15,9.46,15.79,5.59,0.0
20210617:2010,0.0,0.0,0.0,15.32,5.72,0.0
20210617:2110,0.0,0.0,0.0,15.03,6.0,0.0
20210617:2210,0.0,0.0,0.0,14.78,6.0,0.0
20210617:2310,0.0,0.0,0.0,14.6,5.86,0.0
20210618:0010,0.0,0.0,0.0,14.55,5.93,0.0
20210618:0110,0.0,0.0,0.0,14.48,6.28,0.0
20210618:0210,0.0,0.0,0.0,14.45,5.86,0.0
20210618:0310,0.0,0.0,0.0,14.42,5.59,0.0
20210618:0410,0.0,0.0,0.0,14.37,5.86,0.0
20210618:0510,0.0,0.0,0.0,14.35,5.72,0.0
20210618:0610,31.03,52.08,11.02,14.4,5.66,0.0
20210618:0710,112.35,153.33,21.63,14.83,6.14,0.0
20210618:0810,182.77,231.64,32.62,15.18,6.83,0.0
20210618:0910,224.15,279.71,43.71,16.21,6.9,0.0
20210618:1010,286.54,353.56,54.49,16.61,6.14,0.0
20210618:1110,453.91,553.93,64.12,17.29,6.28,0.0
20210618:1210,380.86,468.64,70.45,17.88,5.93,0.0
20210618:1310,74.75,107.07,69.87,18.64,5.24,0.0
20210618:1410,80.0,113.54,62.84,18.94,5.1,0.0
20210618:1510,45.25,71.08,52.95,18.87,5.52,0.0
20210618:1610,185.55,238.35,42.08,19.01,5.66,0.0
20210618:1710,243.08,310.72,30.99,18.57,5.45,0.0
20210618:1810,100.75,141.91,20.04,17.9,5.1,0.0
20210618:1910,24.0,43.4,9.51,16.69,4.41,0.0
20210618:2010,0.0,0.0,0.0,16.21,4.14,0.0
20210618:2110,0.0,0.0,0.0,15.59,4.55,0.0
20210618:2210,0.0,0.0,0.0,15.11,4.48,0.0
20210618:2310,0.0,0.0,0.0,14.9,3.86,0.0
20210619:0010,0.0,0.0,0.0,14.52,3.52,0.0
20210619:0110,0.0,0.0,0.0,14.37,3.24,0.0
20210619:0210,0.0,0.0,0.0,14.14,3.03,0.0
20210619:0310,0.0,0.0,0.0,14.14,2.9,0.0
20210619:0410,0.0,0.0,0.0,13.97,3.1,0.0
20210619:0510,0.0,0.0,0.0,13.9,3.03,0.0
20210619:0610,27.65,47.74,11.0,14.07,2.97,0.0
20210619:0710,85.45,119.14,21.6,14.79,2.14,0.0
